Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S12000028,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,100.0051357923673
2011,S12000028,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,60.3536725209729
2011,S12000028,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1084.586809957451
2011,S12000028,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1056.4797443485718
2011,S12000029,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,3.2426322762352116
2011,S12000029,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.5065340728270913
2011,S12000029,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,35.361619751933894
2011,S12000029,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,25.896033152925263
2011,S12000029,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,170.35133041424777
2011,S12000029,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,122.38954267277136
2011,S12000029,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,891.8338884475804
2011,S12000029,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1011.6565787007472
2011,S12000030,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000030,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000030,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2011,S12000030,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,7.104651516843099
2011,S12000030,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,52.32862375719519
2011,S12000030,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,21.275772697381147
2011,S12000030,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,382.1394200016173
2011,S12000030,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1354.4230505528878
2011,S12000033,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,3.0318880290183063
2011,S12000033,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.5730327902323498
2011,S12000033,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,22.051532337362623
